N,P,K,Temperature,Humidity,pH,Rainfall,Label,Disease_Prone,Common_Disease(Fungal),Common_Disease(Bacterial),Common_Disease(Viral),Salinity_dS_m,Water_Requirement,Disease_Resistance_Score,Nutrient_Deficiency
92,68,53,24.7,69.8,7.12,318.4,Sunflower,Yes,None,None,None,0.89,399.1,4.2,Phosphorus
91,58,66,39.4,70.9,7.1,181.5,Paddy,No,Blight,Canker,None,0.95,464.9,8.9,Nitrogen
101,76,12,35.0,80.6,6.25,302.1,Cumin,Yes,Leaf Spot,Bacterial Crown Gall,None,1.79,683.4,2.6,Nitrogen
101,19,43,38.3,74.9,7.22,249.5,Garlic,Yes,None,None,None,2.44,443.4,4.4,None
69,12,27,31.1,43.2,5.7,133.5,Soybean,No,None,None,None,0.75,490.9,4.7,Potassium
82,26,20,35.9,66.2,7.27,168.9,Turmeric,Yes,Downy Mildew,Bacterial Canker,None,1.3,423.3,1.7,Phosphorus
119,64,84,35.6,71.4,5.87,358.8,Cauliflower,No,None,None,None,2.38,575.1,5.0,Phosphorus
108,77,25,25.7,41.0,6.47,72.8,Wheat,Yes,Mildew,None,None,1.66,518.5,9.8,Potassium
57,17,39,30.3,56.7,6.58,232.2,Potato,Yes,Sclerotium Rots,Citrus Cankers,None,1.15,698.6,7.4,Nitrogen
97,17,75,25.4,67.8,6.7,139.7,Paddy,Yes,None,Aerial Stem Rot,None,1.82,122.1,7.1,Phosphorus
74,37,87,30.1,65.7,7.22,243.2,Okra,Yes,None,Stewart's Wilt,None,1.91,464.2,5.8,Nitrogen
81,12,57,19.9,54.0,6.97,373.4,Potato,Yes,None,None,None,2.87,391.9,9.7,None
71,65,81,23.6,35.0,6.14,364.0,Chilly,No,None,None,None,0.61,749.6,8.9,Nitrogen
105,47,32,38.3,34.6,6.78,221.1,Mustard,No,None,None,None,1.7,189.8,6.2,Potassium
31,10,46,28.0,33.2,6.13,181.3,Maize,Yes,None,None,None,1.24,706.4,5.8,Potassium
78,59,21,31.8,79.2,6.31,75.8,Beet,Yes,None,None,None,1.24,587.7,6.5,Potassium
43,75,83,26.2,57.4,5.81,306.5,Bitter Gourd,Yes,Botrytis Blight,None,None,1.82,631.3,7.0,Phosphorus
82,67,33,22.8,50.4,6.98,208.9,Tomato,Yes,Sclerotinia Rots,None,None,1.85,729.8,9.3,Phosphorus
61,13,81,19.6,45.6,7.15,159.3,Okra,No,Powdery Mildew,None,None,1.72,622.1,7.5,None
120,67,68,18.0,43.2,7.34,334.5,Ragi,Yes,Leaf Spot,None,None,1.47,107.0,1.1,None
58,52,73,36.6,34.9,5.85,160.8,Mustard,No,Sclerotinia Rots,None,None,0.56,270.6,2.6,None
96,79,15,28.7,57.3,5.62,342.3,Mustard,Yes,Leaf Spot,None,None,3.3,445.4,4.3,None
97,76,46,28.3,73.3,5.51,106.9,Wheat,No,None,None,None,2.26,415.3,8.4,None
38,59,60,30.9,64.6,6.2,350.2,Maize,Yes,Anthracnose,Fire Blight,None,2.12,381.6,2.0,None
80,54,50,26.1,34.4,5.54,309.7,Wheat,Yes,None,None,None,1.17,787.8,4.7,None
99,55,70,28.8,49.6,5.91,52.5,Chilly,Yes,None,None,None,3.08,105.8,7.2,Phosphorus
60,71,46,22.0,86.3,7.35,256.8,Alfalfa,No,None,None,None,2.65,437.0,4.5,Potassium
28,50,21,35.7,34.6,6.86,302.8,Bajra,Yes,None,None,Leaf Curl,1.4,766.8,6.0,None
51,68,12,39.1,69.3,6.94,230.4,Soybean,No,Leaf Spot,None,None,1.16,154.5,1.8,Phosphorus
93,51,67,36.4,75.5,6.63,66.3,Cotton,Yes,None,Citrus Cankers,None,2.49,253.3,4.0,Nitrogen
75,74,37,20.5,38.8,6.93,167.3,Castor,No,None,None,None,2.25,330.0,6.5,Phosphorus
32,23,80,25.8,58.0,7.02,110.2,Linseed,No,None,None,None,3.01,137.4,5.3,Nitrogen
114,58,35,33.9,50.7,5.8,225.3,Amaranth,Yes,None,None,Mosaic Virus,3.14,282.5,2.7,None
37,36,64,25.5,32.8,5.52,296.0,Okra,Yes,None,Citrus Cankers,None,2.12,638.3,6.8,Nitrogen
110,36,33,24.7,33.2,6.01,303.7,Sunflower,No,None,None,None,1.51,551.6,8.5,Phosphorus
32,68,39,24.6,79.1,7.38,175.4,Jowar,Yes,None,None,None,2.03,263.5,8.1,None
34,22,69,17.1,86.0,7.28,378.5,Amaranth,Yes,None,None,None,1.09,653.6,8.8,None
34,71,52,19.7,46.1,7.44,387.9,Maize,Yes,None,None,Yellowing,2.75,439.2,9.0,Phosphorus
102,17,87,16.4,31.8,5.64,97.0,Tomato,No,Blight,None,None,1.32,125.8,8.4,Phosphorus
92,48,19,31.2,63.6,7.45,135.4,Cauliflower,No,None,None,None,2.81,579.0,6.7,Nitrogen
91,18,27,37.3,85.8,6.82,387.6,Bitter Gourd,No,None,None,None,1.79,292.2,9.5,Nitrogen
22,62,50,36.6,60.6,6.61,103.9,Peas,Yes,Mildew,None,None,1.24,196.8,8.7,Potassium
24,56,83,31.4,51.6,7.0,163.0,Maize,Yes,None,None,None,3.42,326.9,1.2,None
22,47,89,25.0,58.4,6.02,338.2,Mustard,No,None,None,None,2.16,567.7,2.4,Nitrogen
35,25,19,39.4,66.9,6.88,347.6,Turmeric,Yes,Anthracnose,None,None,2.65,124.9,8.0,Potassium
66,11,78,30.8,34.5,6.51,214.5,Cabbage,No,Powdery Mildew,None,None,3.21,553.2,1.3,Phosphorus
82,72,89,31.2,44.8,6.22,293.1,Onion,No,None,None,None,1.82,578.3,3.9,Phosphorus
35,46,19,16.9,47.6,6.71,113.9,Onion,Yes,Sclerotinia Rots,Wilt,None,2.81,645.5,6.8,Nitrogen
55,50,29,28.6,77.5,7.32,88.1,Oat,No,None,None,None,1.49,517.8,2.1,Phosphorus
64,28,51,35.3,34.5,6.07,306.1,Beet,No,None,None,None,1.61,130.0,6.6,Phosphorus
63,37,76,17.6,88.7,5.96,250.8,Coriander,Yes,None,None,None,0.52,205.0,4.3,Potassium
42,57,71,24.3,85.0,5.51,280.9,Cumin,No,Black Spot,None,None,2.71,424.3,4.8,Nitrogen
84,26,32,25.8,32.5,6.1,155.7,Ragi,Yes,None,None,None,1.54,409.9,1.6,Phosphorus
108,23,43,35.7,56.1,7.3,112.4,Cumin,Yes,None,None,None,1.43,484.7,1.5,Potassium
40,66,39,32.4,88.7,6.32,75.7,Castor,No,Anthracnose,None,None,2.07,154.9,3.6,None
99,43,56,23.0,31.8,7.48,192.1,Coriander,No,Fusarium Rots,Blackleg,None,1.38,215.2,1.1,Nitrogen
74,71,32,21.1,70.5,6.77,258.3,Bitter Gourd,No,None,None,Yellowing,1.34,339.6,6.7,Nitrogen
85,40,29,33.0,40.7,5.78,289.6,Potato,No,Fusarium Rots,None,None,1.52,129.8,9.0,Nitrogen
35,40,17,22.9,71.5,6.34,288.2,Potato,No,None,None,Plum Pox Virus,2.02,395.3,5.1,Phosphorus
90,33,50,16.0,68.3,6.01,302.2,Cotton,Yes,None,None,None,1.81,239.8,5.1,Phosphorus
70,63,89,20.9,72.4,7.03,206.5,Soybean,Yes,None,None,Mosaic Virus,0.71,630.6,7.7,Phosphorus
32,68,13,18.8,50.5,6.25,185.3,Amaranth,Yes,Sclerotium Rots,Rot,None,2.0,510.7,5.8,Nitrogen
59,56,34,39.2,89.2,5.82,334.9,Bajra,Yes,None,None,None,1.03,705.4,1.7,Potassium
92,17,75,33.8,37.8,6.27,214.9,Onion,Yes,None,Aerial Stem Rot,None,2.52,163.5,5.6,Phosphorus
59,30,47,34.3,61.9,7.37,238.8,Cabbage,Yes,None,None,Tomato Spotted Wilt Virus,3.44,382.8,8.8,None
120,15,72,29.8,52.2,6.47,283.8,Castor,Yes,Rust,None,None,1.1,756.1,7.3,Phosphorus
68,55,35,17.9,41.6,5.64,247.9,Soybean,Yes,None,None,None,0.8,697.6,3.5,Nitrogen
86,10,44,39.4,51.0,6.51,82.1,Brinjal,Yes,None,None,None,2.81,756.5,4.2,Potassium
112,62,85,34.0,56.8,6.95,386.3,Jowar,Yes,None,None,None,1.51,474.3,2.5,None
97,46,12,32.2,49.3,5.53,209.2,Jowar,No,None,None,None,1.2,684.4,3.3,Nitrogen
28,40,30,25.9,80.2,6.67,111.2,Sunflower,Yes,None,None,None,2.93,601.2,8.1,Nitrogen
35,19,42,19.7,75.9,7.41,116.8,Linseed,Yes,Botrytis Blight,Stewart's Wilt,None,0.99,706.8,7.5,Potassium
45,65,18,36.6,58.1,6.95,340.0,Bitter Gourd,No,None,None,None,2.07,725.2,4.6,Phosphorus
72,42,44,15.5,70.2,6.11,279.4,Barley,No,None,None,None,3.5,517.9,8.2,Potassium
40,32,16,34.0,32.6,6.83,230.3,Turmeric,Yes,None,None,None,1.71,536.8,3.2,Phosphorus
96,17,19,35.7,58.3,6.12,75.2,Ragi,Yes,None,Bacterial Blight,None,2.19,591.6,6.8,Phosphorus
57,16,53,32.1,69.9,6.11,221.9,Sunflower,No,None,Bacterial Canker,None,0.83,284.7,2.7,Phosphorus
30,47,76,30.5,43.1,6.6,267.1,Oat,No,None,Canker,None,2.42,750.1,1.3,Phosphorus
106,54,80,39.2,90.0,6.46,330.3,Ragi,No,None,None,None,2.52,545.9,2.3,Nitrogen
22,41,59,22.9,31.2,5.97,317.7,Wheat,Yes,None,None,None,0.85,618.5,5.0,Phosphorus
50,69,30,32.6,66.1,6.18,379.1,Tomato,No,None,Bacterial Blight,None,1.96,110.4,1.9,Phosphorus
83,50,12,29.5,40.0,5.76,348.5,Barley,Yes,None,None,None,1.72,564.5,3.2,None
88,75,80,28.3,89.9,6.99,357.9,Mustard,Yes,None,None,None,3.2,738.2,7.4,Potassium
35,65,34,16.1,60.8,6.39,209.0,Maize,No,Blight,None,Potato Virus,2.25,314.8,9.7,Potassium
59,48,30,17.5,83.2,6.08,107.4,Paddy,Yes,None,None,None,2.31,403.3,5.0,None
51,23,59,29.5,77.7,7.05,159.9,Turmeric,No,None,None,None,2.4,383.2,6.8,Potassium
27,56,72,29.2,52.7,5.76,255.0,Cabbage,No,None,None,None,1.7,601.4,9.4,Phosphorus
48,67,73,21.5,68.3,6.62,87.2,Wheat,No,None,None,None,1.44,485.5,4.5,Phosphorus
94,41,76,34.2,62.3,6.07,82.7,Guar,Yes,None,None,None,0.71,571.6,6.9,None
97,65,54,22.8,62.6,7.13,249.7,Castor,Yes,Fusarium Rots,None,None,0.82,187.7,5.4,Nitrogen
20,13,65,34.3,31.9,6.22,138.9,Barley,Yes,None,None,None,2.49,318.8,7.6,Phosphorus
50,36,81,18.7,33.6,5.64,117.3,Jowar,No,Black Spot,None,None,1.72,596.2,6.6,Phosphorus
70,52,24,36.8,87.5,5.64,341.1,Peas,No,None,Scab,None,0.87,492.6,7.1,None
23,17,38,28.9,72.5,5.58,216.1,Linseed,No,Powdery Mildew,Scab,None,2.52,602.0,6.2,None
47,79,38,24.5,65.0,5.97,198.0,Potato,No,None,None,None,2.62,452.9,9.5,Phosphorus
37,26,77,35.7,72.2,5.78,319.1,Potato,No,None,None,None,2.26,120.8,3.9,Phosphorus
90,73,11,27.5,66.0,7.45,360.8,Ragi,Yes,None,None,None,2.72,643.4,4.2,Nitrogen
114,79,28,31.4,89.2,6.52,52.6,Paddy,No,Fusarium Rots,None,None,2.31,371.9,5.7,Potassium
91,51,14,15.8,71.0,6.41,191.9,Cumin,Yes,None,None,None,1.6,555.3,1.4,Potassium
32,80,79,37.0,69.4,6.63,225.5,Garlic,No,Botrytis Blight,None,None,1.29,101.3,2.4,Potassium
102,21,38,40.0,84.0,6.03,399.2,Bitter Gourd,Yes,None,Tuber Soft Rot,None,1.86,245.9,9.0,None
101,73,83,32.1,87.7,6.83,109.5,Ragi,No,None,Soft Rot,None,1.35,113.1,2.5,None
69,72,44,15.0,39.8,6.38,200.4,Garlic,No,None,None,None,3.19,367.9,5.1,Potassium
39,15,88,29.0,89.2,6.85,163.4,Beet,Yes,None,None,None,3.32,114.3,8.5,Potassium
79,46,31,25.1,63.0,5.83,342.6,Alfalfa,No,Sclerotium Rots,None,None,3.05,772.7,9.5,Phosphorus
108,46,13,30.5,53.7,5.85,108.9,Okra,No,None,None,None,1.14,514.1,5.3,None
62,13,76,26.0,30.6,6.75,276.1,Bitter Gourd,Yes,None,None,Mosaic Virus,1.23,560.0,7.5,Nitrogen
49,23,62,36.5,31.2,6.24,279.4,Coriander,Yes,None,None,None,2.2,562.3,3.8,Nitrogen
28,48,83,30.7,73.0,5.76,55.7,Wheat,No,None,None,None,1.05,787.5,5.6,Phosphorus
72,23,24,32.7,46.5,7.34,302.1,Linseed,Yes,None,None,None,1.23,635.0,5.7,Phosphorus
46,39,18,30.7,51.6,6.49,223.5,Guar,Yes,None,Rot,Cauliflower Mosaic Virus,0.81,173.1,2.5,None
68,13,38,39.4,89.2,6.97,247.0,Turmeric,No,None,Fire Blight,None,0.55,553.8,7.3,Nitrogen
45,43,61,25.7,54.1,7.41,113.0,Jowar,Yes,None,None,None,1.35,761.2,2.1,Potassium
38,41,46,16.3,81.0,6.85,174.2,Mustard,Yes,None,None,None,1.92,774.2,2.5,Potassium
58,38,33,37.4,43.7,5.92,52.8,Soybean,Yes,Blight,None,None,2.01,651.6,1.0,Potassium
43,37,37,28.8,60.3,5.76,91.5,Cumin,Yes,Powdery Mildew,None,None,2.32,106.1,5.4,Potassium
36,48,56,27.9,50.3,6.96,181.0,Chilly,No,Rust,Leaf Spot Wilt,None,1.82,179.7,9.4,None
55,30,74,18.8,87.1,6.83,346.2,Soybean,Yes,None,None,None,2.04,153.0,7.9,None
120,53,38,37.0,36.6,6.54,238.9,Coriander,No,Blight,Leaf Spot Wilt,None,2.28,391.7,6.9,Potassium
54,33,55,26.3,50.7,7.31,264.9,Fennel,No,None,None,Potato Virus Y,0.67,521.0,8.4,Potassium
30,12,44,25.4,30.8,7.33,178.1,Barley,Yes,None,None,None,2.87,312.6,8.7,Phosphorus
118,38,45,16.6,74.7,6.28,330.1,Bajra,Yes,None,None,None,3.06,180.4,4.3,Nitrogen
115,15,54,36.4,49.6,5.85,234.7,Amaranth,Yes,None,None,None,3.21,386.4,9.5,Potassium
78,52,33,30.5,77.7,7.15,79.1,Paddy,No,None,None,None,2.82,539.4,3.4,Nitrogen
58,55,66,35.3,60.6,6.64,240.2,Okra,Yes,None,None,None,0.6,742.5,7.6,Phosphorus
83,19,57,16.4,77.3,7.26,215.5,Cabbage,Yes,None,None,None,2.09,150.6,4.1,Phosphorus
65,45,47,19.9,74.0,5.82,105.1,Maize,No,Sclerotinia Rots,None,None,2.01,101.2,7.8,Phosphorus
55,12,60,20.2,76.8,5.62,396.1,Castor,Yes,None,None,Potato Virus,2.34,387.1,6.2,Potassium
27,71,62,27.6,87.9,6.01,269.5,Cabbage,Yes,None,None,None,0.98,683.3,8.4,Nitrogen
72,11,33,31.7,71.7,5.6,331.2,Turmeric,No,None,Bacterial Crown Gall,None,2.94,157.9,5.7,Nitrogen
113,75,82,22.4,34.7,5.54,383.7,Alfalfa,Yes,Blight,None,None,2.41,236.3,6.7,Nitrogen
95,40,58,24.2,47.3,6.31,122.9,Cauliflower,Yes,None,None,None,3.34,184.3,2.2,Potassium
108,13,12,17.0,46.9,7.27,336.7,Potato,No,None,None,None,2.99,465.1,4.0,Potassium
87,71,32,32.0,66.4,6.09,254.6,Alfalfa,Yes,None,None,None,1.62,402.6,6.0,None
104,32,61,25.5,49.0,6.28,301.5,Okra,No,None,Fire Blight,None,1.04,362.0,7.3,None
104,24,65,33.2,43.2,6.82,212.9,Peas,No,None,None,None,0.65,456.9,4.8,Nitrogen
21,30,29,20.1,86.9,5.51,326.3,Cabbage,No,None,None,None,1.24,755.3,6.0,None
59,74,21,32.7,45.3,6.42,153.8,Chilly,Yes,Blight,None,None,1.52,109.2,2.5,None
87,13,88,23.7,83.7,6.86,226.6,Barley,Yes,None,None,None,3.26,282.8,5.9,Potassium
107,58,10,28.0,45.7,6.44,98.7,Oat,Yes,None,None,None,2.13,498.5,6.3,None
45,21,26,30.8,68.6,6.54,325.4,Bajra,Yes,None,Rot,None,2.71,418.0,9.8,Phosphorus
44,73,78,40.0,80.4,5.73,216.4,Ragi,No,Leaf Spot,Stewart's Wilt,None,1.21,786.5,8.4,Phosphorus
93,34,21,39.2,48.1,6.98,189.7,Garlic,Yes,Sclerotinia Rots,None,None,0.69,406.0,3.5,Nitrogen
84,77,14,39.1,81.3,6.47,150.4,Linseed,Yes,None,None,None,2.53,545.9,9.9,Phosphorus
37,62,16,18.9,69.2,5.81,80.5,Amaranth,No,None,Black Rot,None,1.42,555.8,2.4,Potassium
111,26,37,28.3,86.2,5.73,266.8,Tomato,No,None,None,None,0.7,324.1,2.7,Nitrogen
52,10,22,38.7,55.5,7.06,349.3,Castor,No,Blight,None,None,2.13,596.7,1.3,Phosphorus
53,53,85,26.0,57.5,6.77,228.7,Coriander,Yes,None,None,None,1.42,470.7,9.4,None
73,49,46,28.5,35.6,7.18,384.2,Bitter Gourd,No,None,None,None,1.64,327.1,2.3,Potassium
98,64,62,16.2,52.1,7.08,333.8,Paddy,Yes,None,None,None,2.89,284.3,3.1,Nitrogen
72,44,15,17.2,83.2,6.01,189.7,Soybean,No,None,None,Yellowing,2.18,185.5,6.3,Phosphorus
41,31,26,29.6,83.8,5.83,366.5,Cotton,Yes,None,None,None,3.09,577.7,1.1,None
90,79,73,16.7,83.8,5.51,72.2,Sugarcane,Yes,None,None,Yellowing,2.63,762.1,9.7,Nitrogen
20,71,46,38.3,81.5,6.11,179.2,Jowar,No,None,None,None,1.44,395.5,8.6,None
115,53,72,26.0,51.5,6.82,277.7,Barley,Yes,None,None,None,0.67,420.1,6.5,Phosphorus
22,16,29,27.3,71.5,6.43,262.4,Alfalfa,No,None,None,Leaf Curl,3.3,150.7,3.0,Potassium
43,15,41,39.7,71.0,6.84,338.8,Wheat,Yes,None,None,None,2.52,442.4,7.9,None
94,36,17,19.7,73.8,6.62,185.6,Oat,No,None,None,None,2.94,641.7,1.6,Potassium
70,77,76,27.7,48.8,5.7,389.3,Paddy,No,None,None,None,0.72,706.3,3.7,Nitrogen
96,24,38,33.5,85.9,5.99,295.7,Cotton,Yes,None,Tuber Soft Rot,None,2.83,791.3,7.6,Phosphorus
29,54,68,16.6,72.9,5.88,325.8,Maize,Yes,None,None,None,1.85,291.7,5.1,None
46,40,71,39.6,65.5,6.1,359.5,Potato,Yes,None,Scab,None,0.5,785.5,7.7,Phosphorus
114,39,84,16.0,71.0,6.14,239.6,Fennel,Yes,None,None,None,1.87,296.9,2.9,None
24,58,11,30.4,68.4,6.06,54.8,Wheat,No,None,None,None,1.39,688.4,4.1,Potassium
28,35,85,37.9,47.4,7.33,137.3,Beet,Yes,Botrytis Blight,None,None,0.66,310.1,1.6,Nitrogen
93,49,17,22.8,35.3,6.52,374.3,Fennel,Yes,None,None,None,2.33,515.9,7.5,None
95,48,42,27.9,40.0,7.46,391.4,Guar,No,None,None,None,1.41,677.0,5.7,Phosphorus
42,58,20,22.4,78.4,5.97,392.9,Wheat,No,None,None,None,1.98,754.1,5.3,None
56,59,15,36.8,48.8,6.33,339.0,Turmeric,Yes,None,None,None,0.87,256.2,5.2,None
101,79,69,26.8,72.6,5.63,233.2,Jowar,Yes,None,None,None,1.67,702.5,7.6,Potassium
103,62,13,16.9,30.0,7.46,265.6,Amaranth,No,None,None,None,2.28,292.6,7.2,Phosphorus
50,18,46,33.4,70.3,6.12,273.6,Wheat,No,None,None,None,2.28,438.6,8.0,None
118,77,81,25.7,34.7,5.66,324.8,Ragi,No,Downy Mildew,None,None,3.17,641.6,3.6,None
90,40,13,16.3,87.2,6.56,319.0,Chilly,Yes,None,None,None,1.67,657.3,7.9,None
24,42,30,36.1,61.2,6.26,273.5,Mustard,No,None,None,None,2.42,236.9,2.5,Potassium
35,48,50,16.0,74.4,6.81,158.7,Guar,Yes,None,None,None,1.83,588.7,5.5,Potassium
110,41,39,22.7,33.0,7.16,50.3,Wheat,No,Fusarium Rots,None,None,3.07,792.5,5.4,Phosphorus
100,35,60,32.2,54.1,5.68,321.0,Sunflower,Yes,Leaf Spot,None,None,2.54,745.1,7.6,Potassium
37,63,65,29.9,89.0,7.32,381.0,Ragi,No,None,None,None,1.41,180.4,4.5,Phosphorus
46,79,16,27.7,47.7,6.47,324.6,Maize,No,Mildew,None,None,2.29,513.3,6.7,Potassium
110,59,41,22.6,61.5,6.47,334.4,Bajra,No,None,Blackleg,None,3.22,622.8,6.7,Nitrogen
102,55,65,27.2,78.7,6.62,102.4,Sunflower,Yes,Rhizoctonia Rots,Citrus Cankers,None,3.37,584.3,1.2,Phosphorus
27,49,69,30.1,51.5,6.93,172.5,Cauliflower,No,None,None,None,2.77,489.4,8.6,None
56,36,54,28.4,58.3,6.55,198.5,Oat,No,None,Bacterial Canker,None,1.36,154.0,3.5,Phosphorus
46,49,38,38.8,59.5,7.39,388.7,Barley,No,None,Citrus Cankers,None,1.99,156.5,8.5,Potassium
44,51,46,18.2,60.0,5.83,370.1,Potato,Yes,Rust,None,Cucumber Mosaic Virus,1.23,698.4,2.8,Phosphorus
30,66,73,34.5,56.2,6.22,293.4,Cumin,Yes,None,None,None,0.59,655.7,9.7,Potassium
103,44,20,36.2,38.2,5.87,179.9,Garlic,No,None,None,None,2.26,314.5,1.8,None
38,54,90,24.5,36.1,7.06,220.5,Ragi,Yes,None,None,None,1.67,272.6,3.1,Potassium
72,45,45,21.4,30.0,5.89,281.1,Brinjal,Yes,None,Bacterial Canker,None,2.35,369.9,1.0,None
86,79,46,28.7,81.6,6.15,109.8,Cumin,No,None,None,None,2.14,108.2,4.1,Nitrogen
74,80,80,28.1,74.0,6.67,397.3,Soybean,Yes,None,None,None,2.98,498.3,8.7,Nitrogen
86,11,45,34.8,83.6,5.9,167.6,Coriander,Yes,None,None,None,2.93,110.9,3.7,Phosphorus
85,63,61,23.2,65.5,6.41,370.5,Mustard,No,None,Stewart's Wilt,None,0.51,558.9,4.0,Nitrogen
53,80,54,19.0,30.9,5.69,107.2,Wheat,Yes,None,None,None,1.16,658.4,8.3,Nitrogen
94,24,48,33.8,58.7,5.5,124.4,Cabbage,Yes,None,Bacterial Canker,None,0.76,374.8,4.5,None
67,60,51,28.7,88.2,6.08,319.8,Sunflower,No,None,None,None,3.15,206.3,6.4,None
101,30,82,34.0,41.1,7.38,142.3,Garlic,Yes,None,None,None,0.91,490.9,2.9,None
99,61,16,27.2,59.8,6.78,289.5,Garlic,Yes,None,None,None,0.66,215.3,3.8,Potassium
50,68,36,30.4,36.7,5.58,315.7,Sunflower,No,None,None,None,3.23,609.7,8.6,Phosphorus
35,24,41,23.8,73.0,7.38,206.0,Oat,Yes,Rust,None,None,3.31,126.3,6.4,None
110,62,31,25.1,42.4,5.68,363.8,Peas,Yes,None,None,None,2.15,393.1,7.6,Phosphorus
33,22,38,16.7,31.9,7.03,112.9,Ragi,No,None,None,None,1.29,300.3,8.6,Potassium
38,32,68,28.3,86.6,6.37,243.2,Cauliflower,No,None,None,None,3.23,517.9,1.2,None
30,37,35,20.5,64.5,5.9,173.4,Chilly,No,None,None,None,1.77,198.9,6.7,Phosphorus
59,61,38,22.1,53.5,6.02,79.1,Bitter Gourd,No,Anthracnose,None,None,1.23,148.5,5.3,None
93,38,90,30.6,64.2,5.86,188.1,Fennel,No,None,None,Yellowing,1.9,103.7,2.8,Nitrogen
95,74,77,28.1,56.4,6.37,385.2,Turmeric,No,Sclerotinia Rots,None,None,2.33,171.5,9.7,Potassium
66,46,87,22.5,31.0,7.0,268.2,Castor,No,Botrytis Blight,None,None,2.13,243.0,4.7,Phosphorus
42,71,31,27.2,69.7,6.47,98.6,Paddy,No,None,Scab,None,2.14,269.1,7.6,Phosphorus
106,37,15,31.1,38.1,5.8,200.3,Maize,No,None,None,None,1.61,252.7,4.5,None
108,75,58,19.0,34.7,5.59,129.0,Tomato,Yes,Sclerotium Rots,None,None,2.54,404.7,5.7,Potassium
37,52,87,37.6,70.0,6.93,260.9,Wheat,No,None,None,None,1.71,772.4,1.5,Potassium
50,66,23,37.7,71.8,7.13,221.8,Cotton,No,None,None,None,2.29,542.7,1.6,None
120,28,68,27.9,48.1,6.26,66.9,Garlic,Yes,Leaf Spot,None,None,2.73,355.3,2.1,Nitrogen
98,79,44,21.2,67.0,5.53,399.5,Bajra,Yes,None,Soft Rot,None,2.03,240.9,9.2,Nitrogen
70,59,36,15.1,38.7,6.88,288.9,Fennel,Yes,Fusarium Rots,None,None,2.52,749.5,4.7,Nitrogen
69,18,19,21.8,66.4,6.96,201.9,Bajra,Yes,None,None,None,2.28,233.6,2.0,Potassium
66,61,29,25.9,83.3,6.97,342.6,Okra,No,Black Spot,None,None,3.34,200.0,3.5,Nitrogen
78,34,32,38.2,49.9,5.62,302.3,Castor,No,None,Tuber Soft Rot,None,1.15,508.7,2.3,Nitrogen
101,61,74,18.8,61.7,6.27,385.4,Coriander,Yes,Fusarium Rots,None,None,1.94,709.5,5.5,Nitrogen
42,11,20,21.8,61.6,7.06,73.8,Sunflower,No,None,None,None,3.4,715.5,3.5,Phosphorus
98,68,59,24.3,73.7,7.48,118.3,Paddy,Yes,Powdery Mildew,None,None,3.41,457.6,1.2,None
74,28,17,20.4,86.5,6.37,350.2,Turmeric,Yes,None,Aerial Stem Rot,None,1.31,577.0,7.3,Phosphorus
38,38,76,29.4,64.9,5.81,364.8,Alfalfa,Yes,Powdery Mildew,None,None,2.55,613.5,3.9,None
83,44,21,27.8,67.8,6.46,201.3,Mustard,No,None,None,None,0.76,140.1,5.6,Nitrogen
33,35,36,20.8,48.7,5.54,303.6,Soybean,No,None,None,None,0.64,477.5,5.9,Phosphorus
101,57,89,35.8,86.8,6.65,362.3,Jowar,Yes,None,None,None,0.95,611.2,4.3,Nitrogen
33,74,50,29.5,73.3,6.31,54.2,Jowar,No,None,None,None,2.63,310.1,5.8,Potassium
91,13,49,31.5,61.7,6.17,68.8,Alfalfa,No,None,None,None,1.15,358.1,9.3,Potassium
106,28,32,27.6,73.8,6.73,284.8,Peas,No,Powdery Mildew,Leaf Spot Wilt,None,1.28,648.9,4.6,None
41,56,17,19.6,31.3,6.59,233.8,Onion,Yes,None,Wilt,None,2.92,187.6,4.5,Nitrogen
103,22,26,32.5,37.2,6.56,56.5,Jowar,No,None,None,None,1.02,432.6,4.6,Potassium
42,26,77,37.8,79.6,7.1,166.0,Barley,No,Rust,None,None,1.34,480.6,3.5,Phosphorus
75,43,45,15.8,65.0,5.83,102.4,Coriander,No,Botrytis Blight,None,None,1.34,691.3,2.4,Nitrogen
117,26,71,18.0,60.0,7.37,207.2,Paddy,Yes,None,None,None,2.27,199.7,3.7,Nitrogen
38,14,13,28.8,76.6,5.81,393.1,Garlic,No,None,None,None,2.52,498.3,7.7,None
38,71,41,18.1,85.4,7.04,200.5,Paddy,No,None,None,None,1.19,440.5,3.6,Phosphorus
79,51,68,34.2,34.8,6.31,186.2,Bitter Gourd,No,Blight,None,None,2.13,181.4,8.7,Potassium
53,16,73,37.0,72.2,6.2,175.1,Cotton,Yes,None,Black Rot,None,0.81,703.3,8.5,Potassium
75,31,48,24.5,34.5,6.64,394.5,Alfalfa,No,None,None,None,0.67,137.2,4.6,Nitrogen
114,63,43,18.0,67.3,6.75,67.0,Ragi,Yes,Powdery Mildew,Aerial Stem Rot,None,3.34,281.9,2.5,Phosphorus
78,80,70,36.6,67.0,7.44,188.7,Linseed,Yes,None,None,None,1.96,727.4,4.6,Nitrogen
73,68,22,38.0,65.8,6.26,217.4,Paddy,No,None,None,Tomato Spotted Wilt Virus,0.67,707.7,8.6,None
